plot next snapshot,      time step=1,    t=0.0001,       dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.999999943436137e-09
plot next snapshot,      time step=1000000,      t=100.0000000021961,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.999880304675025e-09
plot next snapshot,      time step=2000000,      t=200.0000000055158,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.999521287505069e-09
plot next snapshot,      time step=3000001,      t=300.0000999963298,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.998922590120036e-09
plot next snapshot,      time step=4000001,      t=400.0000999712278,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.998083710661069e-09
plot next snapshot,      time step=5000001,      t=500.0000999461257,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.997003941747561e-09
plot next snapshot,      time step=6000001,      t=600.0000999210237,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.995682369983169e-09
plot next snapshot,      time step=7000001,      t=700.0000998959216,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.994117872032644e-09
plot next snapshot,      time step=8000001,      t=800.0000998708196,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.992309110354682e-09
plot next snapshot,      time step=9000001,      t=900.0000998457175,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.990254528074144e-09
plot next snapshot,      time step=10000001,     t=1000.000099820615,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.987952342949589e-09
plot next snapshot,      time step=11000001,     t=1100.000099795514,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.985400540384142e-09
plot next snapshot,      time step=12000001,     t=1200.000099770411,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.982596865416646e-09
plot next snapshot,      time step=13000001,     t=1300.000099745309,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.979538813620432e-09
plot next snapshot,      time step=14000001,     t=1400.000099720207,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.976223620826477e-09
plot next snapshot,      time step=15000001,     t=1500.000099695105,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.972648251572183e-09
