plot next snapshot,      time step=4700000,      t=4700.000000498766,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.678174203536399e-09
plot next snapshot,      time step=4800000,      t=4800.000000519139,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.660507341195666e-09
plot next snapshot,      time step=4900000,      t=4900.000000539511,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.641959979845001e-09
plot next snapshot,      time step=5000000,      t=5000.000000559884,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.622460007283339e-09
plot next snapshot,      time step=5100000,      t=5100.000000580257,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.601924220827294e-09
plot next snapshot,      time step=5200000,      t=5200.000000600629,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.580255876014349e-09
plot next snapshot,      time step=5300000,      t=5300.000000621002,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.557341503040277e-09
plot next snapshot,      time step=5400000,      t=5400.000000641375,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.533046708082445e-09
plot next snapshot,      time step=5500000,      t=5500.000000661747,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.507210539037838e-09
plot next snapshot,      time step=5600000,      t=5600.00000068212,     dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.47963777467496e-09
plot next snapshot,      time step=5700000,      t=5700.000000702493,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.450088131546555e-09
plot next snapshot,      time step=5800000,      t=5800.000000722865,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.418260758007722e-09
plot next snapshot,      time step=5900000,      t=5900.000000743238,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.383771267909365e-09
plot next snapshot,      time step=6000000,      t=6000.000000763611,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.346116471116991e-09
plot next snapshot,      time step=6100000,      t=6100.000000783984,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.304617790444419e-09
plot next snapshot,      time step=6200000,      t=6200.000000804356,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.258325457391137e-09
plot next snapshot,      time step=6300000,      t=6300.000000824729,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.205844832249085e-09
plot next snapshot,      time step=6400000,      t=6400.000000845102,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.144991994124018e-09
plot next snapshot,      time step=6500000,      t=6500.000000865474,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.072020697897021e-09
plot next snapshot,      time step=6600000,      t=6600.000000885847,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=9.795351370056062e-10
plot next snapshot,      time step=6700000,      t=6700.00000090622,     dt=0.001,       v_max=1.999999943435355e-09,    dx_min=8.487552698221104e-10
plot next snapshot,      time step=6800000,      t=6800.000000926592,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=5.858358352115575e-10
plot next snapshot,      time step=6900000,      t=6900.000000946965,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=7.253477543482233e-10
plot next snapshot,      time step=7000000,      t=7000.000000967338,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=9.127671599240753e-10
plot next snapshot,      time step=7100000,      t=7100.00000098771,     dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.031744652294022e-09
plot next snapshot,      time step=7200000,      t=7200.000001008083,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.124570622249846e-09
plot next snapshot,      time step=7300000,      t=7300.000001028456,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.203483844613753e-09
plot next snapshot,      time step=7400000,      t=7400.000001048828,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.273843450517789e-09
plot next snapshot,      time step=7500000,      t=7500.000001069201,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.33849098462229e-09
plot next snapshot,      time step=7600000,      t=7600.000001089574,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.399113598337995e-09
plot next snapshot,      time step=7700000,      t=7700.000001109946,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.456791060444136e-09
plot next snapshot,      time step=7800000,      t=7800.000001130319,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.512252249262662e-09
plot next snapshot,      time step=7900000,      t=7900.000001150692,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.566009121173526e-09
plot next snapshot,      time step=8000000,      t=8000.000001171064,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.618432476805533e-09
plot next snapshot,      time step=8100000,      t=8100.000001191437,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.669797512203486e-09
plot next snapshot,      time step=8200000,      t=8200.000001211809,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.720312562809879e-09
plot next snapshot,      time step=8300000,      t=8300.000001232182,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.770137966748661e-09
plot next snapshot,      time step=8400000,      t=8400.000001252554,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.819398850293646e-09
plot next snapshot,      time step=8500000,      t=8500.000001272927,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.868194031064553e-09
plot next snapshot,      time step=8600000,      t=8600.0000012933,      dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.916602361154961e-09
plot next snapshot,      time step=8700000,      t=8700.000001313672,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.964687335593243e-09
plot next snapshot,      time step=8800000,      t=8800.000001334045,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.012500497568891e-09
plot next snapshot,      time step=8900000,      t=8900.000001354418,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.060083991908576e-09
plot next snapshot,      time step=9000000,      t=9000.00000137479,     dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.107472504784311e-09
plot next snapshot,      time step=9100000,      t=9100.000001395163,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.154694754159098e-09
plot next snapshot,      time step=9200000,      t=9200.000001415536,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.201774646785022e-09
plot next snapshot,      time step=9300000,      t=9300.000001435908,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.248732184628878e-09
plot next snapshot,      time step=9400000,      t=9400.000001456281,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.295584180899207e-09
plot next snapshot,      time step=9500000,      t=9500.000001476654,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.342344829945924e-09
plot next snapshot,      time step=9600000,      t=9600.000001497026,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.389026163985679e-09
plot next snapshot,      time step=9700000,      t=9700.000001517399,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.435638421449134e-09
plot next snapshot,      time step=9800000,      t=9800.000001537772,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.482190345790343e-09
plot next snapshot,      time step=9900000,      t=9900.000001558145,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.528689429201787e-09
plot next snapshot,      time step=10000000,     t=10000.00000157852,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=2.575142112397169e-09
