plot next snapshot,      time step=1,    t=0.001,        dt=0.001,       v_max=1.999999943436137e-09,    dx_min=1.999999943436137e-09
plot next snapshot,      time step=100000,       t=100.0000000001134,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.999939748963432e-09
plot next snapshot,      time step=200000,       t=200.0000000005909,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.999759135213014e-09
plot next snapshot,      time step=300001,       t=300.0009999998178,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.999458018145612e-09
plot next snapshot,      time step=400001,       t=400.0009999974531,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.999036269562323e-09
plot next snapshot,      time step=500001,       t=500.0009999950884,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.998493698771153e-09
plot next snapshot,      time step=600001,       t=600.0009999927238,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.997830063049148e-09
plot next snapshot,      time step=700001,       t=700.0009999903591,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.997045064746626e-09
plot next snapshot,      time step=800001,       t=800.0009999879944,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.996138350687582e-09
plot next snapshot,      time step=900001,       t=900.0009999856297,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.995109511454379e-09
plot next snapshot,      time step=1000001,      t=1000.000999983265,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.993958080553987e-09
plot next snapshot,      time step=1100001,      t=1100.0009999809,      dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.992683533460957e-09
plot next snapshot,      time step=1200001,      t=1200.000999978536,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.991285286533659e-09
plot next snapshot,      time step=1300001,      t=1300.000999976171,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.989762695799004e-09
plot next snapshot,      time step=1400001,      t=1400.000999973806,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.988115055597202e-09
plot next snapshot,      time step=1500001,      t=1500.000999971442,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.986341597083628e-09
plot next snapshot,      time step=1600001,      t=1600.000999969077,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.984441486577724e-09
plot next snapshot,      time step=1700001,      t=1700.000999966712,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.982413823751937e-09
plot next snapshot,      time step=1800001,      t=1800.000999964348,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.980257639650883e-09
plot next snapshot,      time step=1900001,      t=1900.000999961983,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.977971894531272e-09
plot next snapshot,      time step=2000001,      t=2000.000999959618,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.975555475510399e-09
plot next snapshot,      time step=2100001,      t=2100.000999969077,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.973007194011209e-09
plot next snapshot,      time step=2200001,      t=2200.00099998945,     dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.970325782989448e-09
plot next snapshot,      time step=2300000,      t=2300.000000009822,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.967509922764787e-09
plot next snapshot,      time step=2400000,      t=2400.000000030195,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.96455812378758e-09
plot next snapshot,      time step=2500000,      t=2500.000000050567,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.961468892046705e-09
plot next snapshot,      time step=2600000,      t=2600.00000007094,     dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.958240613980247e-09
plot next snapshot,      time step=2700000,      t=2700.000000091313,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.954871579832084e-09
plot next snapshot,      time step=2800000,      t=2800.000000111685,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.95135997918607e-09
plot next snapshot,      time step=2900000,      t=2900.000000132058,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.947703896131825e-09
plot next snapshot,      time step=3000000,      t=3000.000000152431,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.943901304031391e-09
plot next snapshot,      time step=3100000,      t=3100.000000172804,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.939950059851169e-09
plot next snapshot,      time step=3200000,      t=3200.000000193176,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.935847898020493e-09
plot next snapshot,      time step=3300000,      t=3300.000000213549,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.931592423770088e-09
plot next snapshot,      time step=3400000,      t=3400.000000233922,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.927181105905242e-09
plot next snapshot,      time step=3500000,      t=3500.000000254294,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.922611268955159e-09
plot next snapshot,      time step=3600000,      t=3600.000000274667,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.917880084638838e-09
plot next snapshot,      time step=3700000,      t=3700.00000029504,     dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.912984562578003e-09
plot next snapshot,      time step=3800000,      t=3800.000000315412,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.907921540177966e-09
plot next snapshot,      time step=3900000,      t=3900.000000335785,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.902687671590152e-09
plot next snapshot,      time step=4000000,      t=4000.000000356158,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.897279415655507e-09
plot next snapshot,      time step=4100000,      t=4100.00000037653,     dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.891693022718563e-09
plot next snapshot,      time step=4200000,      t=4200.000000396903,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.885924520182326e-09
plot next snapshot,      time step=4300000,      t=4300.000000417275,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.879969696660578e-09
plot next snapshot,      time step=4400000,      t=4400.000000437648,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.873824084562215e-09
plot next snapshot,      time step=4500000,      t=4500.000000458021,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.867482940919147e-09
plot next snapshot,      time step=4600000,      t=4600.000000478393,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.860941226240159e-09
plot next snapshot,      time step=4700000,      t=4700.000000498766,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.854193581142911e-09
plot next snapshot,      time step=4800000,      t=4800.000000519139,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.847234300478336e-09
plot next snapshot,      time step=4900000,      t=4900.000000539511,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.840057304614786e-09
plot next snapshot,      time step=5000000,      t=5000.000000559884,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.832656107497912e-09
plot next snapshot,      time step=5100000,      t=5100.000000580257,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.825023781041391e-09
plot next snapshot,      time step=5200000,      t=5200.000000600629,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.817152915323689e-09
plot next snapshot,      time step=5300000,      t=5300.000000621002,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.809035573981464e-09
plot next snapshot,      time step=5400000,      t=5400.000000641375,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.800663244079228e-09
plot next snapshot,      time step=5500000,      t=5500.000000661747,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.792026779606704e-09
plot next snapshot,      time step=5600000,      t=5600.00000068212,     dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.783116337596165e-09
plot next snapshot,      time step=5700000,      t=5700.000000702493,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.773921305660423e-09
plot next snapshot,      time step=5800000,      t=5800.000000722865,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.764430219514169e-09
plot next snapshot,      time step=5900000,      t=5900.000000743238,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.754630668754996e-09
plot next snapshot,      time step=6000000,      t=6000.000000763611,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.744509188815966e-09
plot next snapshot,      time step=6100000,      t=6100.000000783984,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.734051136555128e-09
plot next snapshot,      time step=6200000,      t=6200.000000804356,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.723240546385013e-09
plot next snapshot,      time step=6300000,      t=6300.000000824729,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.712059963132109e-09
plot next snapshot,      time step=6400000,      t=6400.000000845102,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.700490246915661e-09
plot next snapshot,      time step=6500000,      t=6500.000000865474,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.688510344175506e-09
plot next snapshot,      time step=6600000,      t=6600.000000885847,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.676097017484064e-09
plot next snapshot,      time step=6700000,      t=6700.00000090622,     dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.663224524830967e-09
plot next snapshot,      time step=6800000,      t=6800.000000926592,    dt=0.001,       v_max=1.99999994343359e-09,     dx_min=1.649864236511904e-09
