plot next snapshot,      time step=1,    t=1e-05,        dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.999999943436137e-09
plot next snapshot,      time step=10000000,     t=100.0000000205418,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.99988030435201e-09
plot next snapshot,      time step=20000000,     t=200.0000000522832,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.999521286858463e-09
plot next snapshot,      time step=30000001,     t=300.000009958969,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.998922589795868e-09
plot next snapshot,      time step=40000001,     t=400.0000097064933,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.998083710227586e-09
plot next snapshot,      time step=50000001,     t=500.0000094540176,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.997003941203585e-09
plot next snapshot,      time step=60000001,     t=600.0000092015418,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.995682369327347e-09
plot next snapshot,      time step=70000001,     t=700.0000089490661,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.994117871263345e-09
plot next snapshot,      time step=80000001,     t=800.0000086965904,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.992309109470121e-09
plot next snapshot,      time step=90000001,     t=900.0000084441147,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.990254527071853e-09
plot next snapshot,      time step=100000001,    t=1000.000008191639,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.987952341827014e-09
plot next snapshot,      time step=110000001,    t=1100.000007939163,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.985400539138485e-09
plot next snapshot,      time step=120000001,    t=1200.000007686687,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.982596864044584e-09
plot next snapshot,      time step=130000001,    t=1300.000007434212,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.979538812118425e-09
plot next snapshot,      time step=140000001,    t=1400.000007181736,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.976223619190513e-09
plot next snapshot,      time step=150000001,    t=1500.00000692926,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.972648249797958e-09
plot next snapshot,      time step=160000001,    t=1600.000006676785,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.968809384249124e-09
plot next snapshot,      time step=170000001,    t=1700.000006424309,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.964703404174016e-09
plot next snapshot,      time step=180000001,    t=1800.000006171833,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.960326376414522e-09
plot next snapshot,      time step=190000001,    t=1900.000005919357,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.95567403508421e-09
plot next snapshot,      time step=200000001,    t=2000.000005666882,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.950741761604802e-09
plot next snapshot,      time step=210000001,    t=2100.000006596749,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.945524562496321e-09
plot next snapshot,      time step=220000001,    t=2200.00000861801,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.940017044663853e-09
plot next snapshot,      time step=230000000,    t=2300.000000639271,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.934213388482074e-09
plot next snapshot,      time step=240000000,    t=2400.000002660532,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.928107314794819e-09
plot next snapshot,      time step=250000000,    t=2500.000004681793,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.921692054213423e-09
plot next snapshot,      time step=260000000,    t=2600.000006703054,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.914960306652415e-09
plot next snapshot,      time step=270000000,    t=2700.000008724315,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.907904199199827e-09
plot next snapshot,      time step=279999999,    t=2800.000000745576,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.900515239033981e-09
plot next snapshot,      time step=289999999,    t=2900.000002766837,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.892784256727863e-09
plot next snapshot,      time step=299999999,    t=3000.000004788098,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.884701350250868e-09
plot next snapshot,      time step=309999999,    t=3100.000006809359,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.876255813890066e-09
plot next snapshot,      time step=319999999,    t=3200.00000883062,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.86743606189669e-09
plot next snapshot,      time step=329999998,    t=3300.000000851881,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.858229542019046e-09
plot next snapshot,      time step=339999998,    t=3400.000002873142,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.848622632353475e-09
plot next snapshot,      time step=349999998,    t=3500.000004894403,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.838600533394374e-09
plot next snapshot,      time step=359999998,    t=3600.000006915664,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.82814713443427e-09
plot next snapshot,      time step=369999998,    t=3700.000008936925,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.817244865066678e-09
plot next snapshot,      time step=379999997,    t=3800.000000958186,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.80587452390574e-09
plot next snapshot,      time step=389999997,    t=3900.000002979447,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.794015074091567e-09
plot next snapshot,      time step=399999997,    t=4000.000005000708,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.78164341730417e-09
plot next snapshot,      time step=409999997,    t=4100.00000684007,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.768734116791285e-09
plot next snapshot,      time step=419999997,    t=4200.000004313857,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.755259077879994e-09
plot next snapshot,      time step=429999997,    t=4300.000001787645,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.741187168581894e-09
plot next snapshot,      time step=439999998,    t=4400.000009261432,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.726483766347766e-09
plot next snapshot,      time step=449999998,    t=4500.000006735219,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.71111022253841e-09
plot next snapshot,      time step=459999998,    t=4600.000004209007,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.695023199899947e-09
plot next snapshot,      time step=469999998,    t=4700.000001682794,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.678173882988703e-09
plot next snapshot,      time step=479999999,    t=4800.000009156582,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.660506998901149e-09
plot next snapshot,      time step=489999999,    t=4900.000006630369,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.641959615590351e-09
plot next snapshot,      time step=499999999,    t=5000.000004104157,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.622459618821713e-09
plot next snapshot,      time step=509999999,    t=5100.000001577944,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.601923805533436e-09
plot next snapshot,      time step=520000000,    t=5200.000009051731,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.58025542856709e-09
plot next snapshot,      time step=530000000,    t=5300.000006525519,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.557341021854156e-09
plot next snapshot,      time step=540000000,    t=5400.000003999307,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.533046188713335e-09
plot next snapshot,      time step=550000000,    t=5500.000001473094,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.507209976071822e-09
plot next snapshot,      time step=560000001,    t=5600.000008946881,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.479637158570371e-09
plot next snapshot,      time step=570000001,    t=5700.000006420669,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.45008745653828e-09
plot next snapshot,      time step=580000001,    t=5800.000003894456,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.418260013294876e-09
plot next snapshot,      time step=590000001,    t=5900.000001368244,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.383770439333112e-09
plot next snapshot,      time step=600000002,    t=6000.000008842031,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.346115535646769e-09
plot next snapshot,      time step=610000002,    t=6100.000006315819,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.304616724969506e-09
plot next snapshot,      time step=620000002,    t=6200.000003789606,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.258324222994331e-09
plot next snapshot,      time step=630000002,    t=6300.000001263394,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.20584336890828e-09
plot next snapshot,      time step=640000003,    t=6400.000008737181,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.144990195194886e-09
plot next snapshot,      time step=650000003,    t=6500.000006210968,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.072018381915453e-09
plot next snapshot,      time step=660000003,    t=6600.000003684756,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=9.79531886273243e-10
plot next snapshot,      time step=670000003,    t=6700.000001158543,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=8.487497694583353e-10
plot next snapshot,      time step=680000004,    t=6800.000008632331,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=5.858155723166375e-10
plot next snapshot,      time step=690000004,    t=6900.000006106118,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=7.241615750122127e-10
plot next snapshot,      time step=700000004,    t=7000.000003579906,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=9.071422492647416e-10
plot next snapshot,      time step=710000004,    t=7100.000001053693,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.01911765613062e-09
plot next snapshot,      time step=720000005,    t=7200.000008527481,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.102728892441147e-09
plot next snapshot,      time step=730000005,    t=7300.000006001268,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.170447723642102e-09
plot next snapshot,      time step=740000005,    t=7400.000003475056,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.227812428567349e-09
plot next snapshot,      time step=750000005,    t=7500.000000948843,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.277812242812114e-09
plot next snapshot,      time step=760000006,    t=7600.00000842263,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.322260867449904e-09
plot next snapshot,      time step=770000006,    t=7700.000005896418,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.362349010081021e-09
plot next snapshot,      time step=780000006,    t=7800.000003370205,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.398904243247012e-09
plot next snapshot,      time step=790000006,    t=7900.000000843993,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.432527147213648e-09
plot next snapshot,      time step=800000007,    t=8000.00000831778,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.463668628326441e-09
plot next snapshot,      time step=810000007,    t=8100.000005791568,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.49267661089871e-09
plot next snapshot,      time step=820000007,    t=8200.000003265355,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.519825701827782e-09
plot next snapshot,      time step=830000007,    t=8300.000000739143,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.545336773551143e-09
plot next snapshot,      time step=840000008,    t=8400.00000821293,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.569390366854792e-09
plot next snapshot,      time step=850000008,    t=8500.000005686717,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.592136106719257e-09
plot next snapshot,      time step=860000008,    t=8600.000003160505,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.613699512586936e-09
plot next snapshot,      time step=870000008,    t=8700.000000634293,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.634186994188691e-09
plot next snapshot,      time step=880000009,    t=8800.00000810808,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.653689612414278e-09
plot next snapshot,      time step=890000009,    t=8900.000005581867,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.672285937684344e-09
plot next snapshot,      time step=900000009,    t=9000.000003055655,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.690044280770553e-09
plot next snapshot,      time step=910000009,    t=9100.000000529442,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.70702442593143e-09
plot next snapshot,      time step=920000010,    t=9200.00000800323,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.723279016760617e-09
plot next snapshot,      time step=930000010,    t=9300.000005477017,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.738854659065044e-09
plot next snapshot,      time step=940000010,    t=9400.000002950805,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.7537928296334e-09
plot next snapshot,      time step=950000010,    t=9500.000000424592,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.768130604825992e-09
plot next snapshot,      time step=960000011,    t=9600.000007898379,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.781901269710906e-09
plot next snapshot,      time step=970000011,    t=9700.000005372167,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.795134816148263e-09
plot next snapshot,      time step=980000011,    t=9800.000002845954,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.80785837229366e-09
plot next snapshot,      time step=990000011,    t=9900.000000319742,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.820096551727332e-09
plot next snapshot,      time step=1000000012,   t=10000.00000779353,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.831871756468153e-09
