plot next snapshot,      time step=46000000,     t=4600.000004719517,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.860941125995312e-09
plot next snapshot,      time step=47000000,     t=4700.000004921789,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.854193477200225e-09
plot next snapshot,      time step=48000000,     t=4800.00000512406,     dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.847234192694834e-09
plot next snapshot,      time step=49000000,     t=4900.000005326332,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.840057192836643e-09
plot next snapshot,      time step=50000000,     t=5000.000005528604,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.832655991561108e-09
plot next snapshot,      time step=51000000,     t=5100.000005730875,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.825023660769547e-09
plot next snapshot,      time step=52000000,     t=5200.000005933147,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.817152790527392e-09
plot next snapshot,      time step=53000000,     t=5300.000006135419,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.809035444456606e-09
plot next snapshot,      time step=54000000,     t=5400.00000633769,     dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.800663109605507e-09
plot next snapshot,      time step=55000000,     t=5500.000006539962,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.79202663994658e-09
plot next snapshot,      time step=56000000,     t=5600.000006742233,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.783116192492577e-09
plot next snapshot,      time step=57000000,     t=5700.000006944505,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.773921154834261e-09
plot next snapshot,      time step=58000000,     t=5800.000007146777,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.764430062662181e-09
plot next snapshot,      time step=59000000,     t=5900.000007349048,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.754630505546736e-09
plot next snapshot,      time step=60000000,     t=6000.00000755132,     dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.744509018890569e-09
plot next snapshot,      time step=61000000,     t=6100.000007753591,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.734050959517401e-09
plot next snapshot,      time step=62000000,     t=6200.000007955863,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.723240361800574e-09
plot next snapshot,      time step=63000000,     t=6300.000008158135,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.712059770522838e-09
plot next snapshot,      time step=64000000,     t=6400.000008360406,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.700490045752927e-09
plot next snapshot,      time step=65000000,     t=6500.000008562678,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.688510133873164e-09
plot next snapshot,      time step=66000000,     t=6600.00000876495,     dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.676096797389094e-09
plot next snapshot,      time step=67000000,     t=6700.000008967221,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.663224294213761e-09
plot next snapshot,      time step=68000000,     t=6800.000009169493,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.649863994553244e-09
plot next snapshot,      time step=69000000,     t=6900.000009371764,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.635983920132965e-09
plot next snapshot,      time step=70000000,     t=7000.000009574036,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.621548185951456e-09
plot next snapshot,      time step=71000000,     t=7100.000009776308,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.606516318580784e-09
plot next snapshot,      time step=72000000,     t=7200.000009978579,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.590842416577695e-09
plot next snapshot,      time step=73000000,     t=7300.000010180851,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.574474106808578e-09
plot next snapshot,      time step=74000000,     t=7400.000010383123,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.557351233942575e-09
plot next snapshot,      time step=75000000,     t=7500.000010585394,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.539404196645057e-09
plot next snapshot,      time step=76000000,     t=7600.000010787666,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.520551809546168e-09
plot next snapshot,      time step=77000000,     t=7700.000010989937,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.500698518940992e-09
plot next snapshot,      time step=78000000,     t=7800.000011192209,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.479730722911745e-09
plot next snapshot,      time step=79000000,     t=7900.000011394481,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.457511826994574e-09
plot next snapshot,      time step=80000000,     t=8000.000011596752,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.43387547684093e-09
plot next snapshot,      time step=81000000,     t=8100.000011799024,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.40861609956053e-09
plot next snapshot,      time step=82000000,     t=8200.000011928536,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.381475362813447e-09
plot next snapshot,      time step=83000000,     t=8300.000011221313,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.352122244912508e-09
plot next snapshot,      time step=84000000,     t=8400.00001051409,     dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.320122731810381e-09
plot next snapshot,      time step=85000000,     t=8500.000009806867,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.284891918521778e-09
plot next snapshot,      time step=86000000,     t=8600.000009099644,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.245614629419937e-09
plot next snapshot,      time step=87000000,     t=8700.000008392421,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.201105835198364e-09
plot next snapshot,      time step=88000000,     t=8800.000007685197,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.149545604369e-09
plot next snapshot,      time step=89000000,     t=8900.000006977974,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.087920456679484e-09
plot next snapshot,      time step=90000000,     t=9000.000006270751,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.010653478097308e-09
plot next snapshot,      time step=91000000,     t=9100.000005563528,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=9.053168881693764e-10
plot next snapshot,      time step=92000000,     t=9200.000004856305,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=7.306853588105243e-10
plot next snapshot,      time step=93000000,     t=9300.000004149082,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=5.694674503315932e-10
plot next snapshot,      time step=94000000,     t=9400.000003441859,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=8.40539780854918e-10
plot next snapshot,      time step=95000000,     t=9500.000002734636,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=9.718518316498049e-10
plot next snapshot,      time step=96000000,     t=9600.000002027413,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=9.560330519210072e-10
plot next snapshot,      time step=97000000,     t=9700.00000132019,     dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=7.894667102285126e-10
plot next snapshot,      time step=98000000,     t=9800.000000612967,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=3.680138936174532e-10
plot next snapshot,      time step=99000001,     t=9900.000099905743,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=8.04352819404182e-10
plot next snapshot,      time step=100000001,    t=10000.00009919852,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=9.654993695793021e-10
